Receiver Contact Name,Receiver Company Name,Receiver Address Line 2,Receiver Town,Receiver Address Line 1,Receiver Address Line 3,Receiver Country Code,Receiver Telephone,Receiver Post/Zip Code,Receiver Email Address,Shipper's reference,Safe Place,Service Enhancement Code 1,Service Enhancement Code 3,Service Enhancement Code 4,Service Enhancement Code 2,Package Type Name,Value of Goods,Description of Goods,Shipment Service,Shipment Weight,Shipment Type,Number Of Pieces
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1000,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1001,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1002,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1003,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1004,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1005,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1006,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1007,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1008,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1009,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1010,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1011,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1012,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1013,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1014,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1015,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
Example Contact,My Company Name,Address 2,Staines,62 High St,Address 3,GB,1935654865,TW18 4DY,example.contact@example.com,MyRef1016,,,,,,,200,Mobile Assets,TPSN,1.2,NDX,1
